predictions,timestamps
0.06599261611700058,08:08:00
0.06177041307091713,08:08:10
0.07451087981462479,08:08:20
0.08740106970071793,08:08:30
0.07265764474868774,08:08:40
0.08772579580545425,08:08:50
0.08268768340349197,08:09:00
0.08004124462604523,08:09:10
0.09873849153518677,08:09:20
0.08255213499069214,08:09:30
0.06799817830324173,08:09:40
0.06142444536089897,08:09:50
0.06616349518299103,08:10:00
0.064309261739254,08:10:10
0.06240769103169441,08:10:20
0.053528089076280594,08:10:30
0.0463479645550251,08:10:40
0.0468670092523098,08:10:50
0.04647497460246086,08:11:00
0.052837640047073364,08:11:10
0.04935780167579651,08:11:20
0.0491609163582325,08:11:30
0.04476745426654816,08:11:40
0.04427023604512215,08:11:50
0.055011410266160965,08:12:00
0.05215708166360855,08:12:10
0.04774114117026329,08:12:20
0.047803349792957306,08:12:30
0.049351368099451065,08:12:40
0.050436150282621384,08:12:50
0.05052405223250389,08:13:00
0.04288266971707344,08:13:10
0.03998969867825508,08:13:20
0.042438849806785583,08:13:30
0.0363570973277092,08:13:40
0.03998487815260887,08:13:50
0.04951697960495949,08:14:00
0.04852315038442612,08:14:10
0.048052962869405746,08:14:20
0.052044130861759186,08:14:30
0.054523516446352005,08:14:40
0.05464330315589905,08:14:50
0.04401088505983353,08:15:00
0.038046836853027344,08:15:10
0.03991856053471565,08:15:20
0.04843980446457863,08:15:30
0.054872192442417145,08:15:40
0.06254642456769943,08:15:50
0.07312390953302383,08:16:00
0.0705992579460144,08:16:10
0.06111634895205498,08:16:20
0.05794705078005791,08:16:30
0.05848141014575958,08:16:40
0.055070821195840836,08:16:50
0.056708212941884995,08:17:00
0.055893152952194214,08:17:10
0.06300459057092667,08:17:20
0.06423920392990112,08:17:30
0.07073842734098434,08:17:40
0.07087671756744385,08:17:50
0.06991517543792725,08:18:00
0.07005442678928375,08:18:10
0.0786004438996315,08:18:20
0.08079894632101059,08:18:30
0.08303070068359375,08:18:40
0.08528628945350647,08:18:50
0.09230848401784897,08:19:00
0.09317804872989655,08:19:10
0.0983358696103096,08:19:20
0.08620340377092361,08:19:30
0.08861962705850601,08:19:40
0.08394058793783188,08:19:50
0.10072004795074463,08:20:00
0.09732837975025177,08:20:10
0.08766385912895203,08:20:20
0.08086410164833069,08:20:30
0.07810764759778976,08:20:40
0.06781468540430069,08:20:50
0.07012883573770523,08:21:00
0.07157592475414276,08:21:10
0.06545218080282211,08:21:20
0.07475629448890686,08:21:30
0.07445444166660309,08:21:40
0.07944023609161377,08:21:50
0.0772329717874527,08:22:00
0.06931017339229584,08:22:10
0.06346563994884491,08:22:20
0.0671844333410263,08:22:30
0.06770197302103043,08:22:40
0.06739389151334763,08:22:50
0.07194707542657852,08:23:00
0.07136716693639755,08:23:10
0.0673631802201271,08:23:20
0.07094975560903549,08:23:30
0.07372495532035828,08:23:40
0.08476092666387558,08:23:50
0.09857290983200073,08:24:00
0.09204413741827011,08:24:10
0.08261633664369583,08:24:20
0.07399541884660721,08:24:30
0.06976372748613358,08:24:40
0.06574241816997528,08:24:50
0.073726125061512,08:25:00
0.07740388065576553,08:25:10
0.08429916203022003,08:25:20
0.09580790996551514,08:25:30
0.08966508507728577,08:25:40
0.09223214536905289,08:25:50
0.10042957961559296,08:26:00
0.09582885354757309,08:26:10
0.08904699981212616,08:26:20
0.08830318599939346,08:26:30
0.09348393976688385,08:26:40
0.08215080201625824,08:26:50
0.07788202166557312,08:27:00
0.07211456447839737,08:27:10
0.07470864057540894,08:27:20
0.07534971833229065,08:27:30
0.07946492731571198,08:27:40
0.0779469832777977,08:27:50
0.08798476308584213,08:28:00
0.08716528862714767,08:28:10
0.08271998912096024,08:28:20
0.08870209753513336,08:28:30
0.08770555257797241,08:28:40
0.07984382659196854,08:28:50
0.09421293437480927,08:29:00
0.09300316870212555,08:29:10
0.09084247052669525,08:29:20
0.07925993949174881,08:29:30
0.08525364845991135,08:29:40
0.09247425943613052,08:29:50
0.09381403774023056,08:30:00
0.0930856391787529,08:30:10
0.08720140904188156,08:30:20
0.07557187229394913,08:30:30
0.07702390104532242,08:30:40
0.07739046961069107,08:30:50
0.08635466545820236,08:31:00
0.08963591605424881,08:31:10
0.0812174379825592,08:31:20
0.07973786443471909,08:31:30
0.0863606259226799,08:31:40
0.07555769383907318,08:31:50
0.08087650686502457,08:32:00
0.09950242191553116,08:32:10
0.10715754330158234,08:32:20
0.10630736500024796,08:32:30
0.10400289297103882,08:32:40
0.09311939775943756,08:32:50
0.08163129538297653,08:33:00
0.07819493114948273,08:33:10
0.07651492953300476,08:33:20
0.07468163222074509,08:33:30
0.07359626889228821,08:33:40
0.07646719366312027,08:33:50
0.07265284657478333,08:34:00
0.07562121003866196,08:34:10
0.07843794673681259,08:34:20
0.08299289643764496,08:34:30
0.09030194580554962,08:34:40
0.09525040537118912,08:34:50
0.0980692207813263,08:35:00
0.09073907136917114,08:35:10
0.08405426889657974,08:35:20
0.07328854501247406,08:35:30
0.07116196304559708,08:35:40
0.07243826240301132,08:35:50
0.08257798105478287,08:36:00
0.08621789515018463,08:36:10
0.08723724633455276,08:36:20
0.10181652009487152,08:36:30
0.10249924659729004,08:36:40
0.10481512546539307,08:36:50
0.12279060482978821,08:37:00
0.12449472397565842,08:37:10
0.12027493119239807,08:37:20
0.10075551271438599,08:37:30
0.09546374529600143,08:37:40
0.0923507809638977,08:37:50
0.0963493138551712,08:38:00
0.0931944027543068,08:38:10
0.09291879832744598,08:38:20
0.10642137378454208,08:38:30
0.12182535231113434,08:38:40
0.13964694738388062,08:38:50
0.13963334262371063,08:39:00
0.14357902109622955,08:39:10
0.13644370436668396,08:39:20
0.11463690549135208,08:39:30
0.10565274953842163,08:39:40
0.10206102579832077,08:39:50
0.08740196377038956,08:40:00
0.08669413626194,08:40:10
0.09944339096546173,08:40:20
0.11217699199914932,08:40:30
0.10996134579181671,08:40:40
0.11507166177034378,08:40:50
0.1005338802933693,08:41:00
0.08294081687927246,08:41:10
0.08709671348333359,08:41:20
0.0860891193151474,08:41:30
0.07340894639492035,08:41:40
0.07228869944810867,08:41:50
0.0696217268705368,08:42:00
0.06930103898048401,08:42:10
0.07701771706342697,08:42:20
0.08037755638360977,08:42:30
0.0868738442659378,08:42:40
0.09575971215963364,08:42:50
0.09687244892120361,08:43:00
0.09041208028793335,08:43:10
0.08466194570064545,08:43:20
0.07748307287693024,08:43:30
0.0802307054400444,08:43:40
0.08292728662490845,08:43:50
0.08829332143068314,08:44:00
0.08404186367988586,08:44:10
0.08073969930410385,08:44:20
0.08413918316364288,08:44:30
0.07788494229316711,08:44:40
0.07794427126646042,08:44:50
0.08002934604883194,08:45:00
0.07236555963754654,08:45:10
0.07323122769594193,08:45:20
0.07809998095035553,08:45:30
0.08036885410547256,08:45:40
0.0693620815873146,08:45:50
0.06734547764062881,08:46:00
0.07055296748876572,08:46:10
0.0703127309679985,08:46:20
0.06496470421552658,08:46:30
0.0687962993979454,08:46:40
0.06939773261547089,08:46:50
0.0672953873872757,08:47:00
0.06698155403137207,08:47:10
0.069167859852314,08:47:20
0.06961363554000854,08:47:30
0.0737442821264267,08:47:40
0.08204745501279831,08:47:50
0.0716044157743454,08:48:00
0.07755034416913986,08:48:10
0.08105455338954926,08:48:20
0.08025132119655609,08:48:30
0.07619725167751312,08:48:40
0.08351198583841324,08:48:50
0.0767056792974472,08:49:00
